movie,n_female,n_male,statistic,p_value,significant
From Hell (2001),56,26,0.2802197802197803,0.09808242569996209,False
Dead Poets Society (1989),365,106,0.08655983458257943,0.5354030230514425,False
Once Upon a Time in America (1984),48,38,0.17543859649122803,0.46699516057242807,False
Equilibrium (2002),62,47,0.13452299245024024,0.6576512465799755,False
Star Wars: Episode II - Attack of the Clones (2002),331,184,0.11028832260606858,0.10227793934514695,False
The Thing (1982),84,70,0.26428571428571423,0.007775004425572238,False
Interstellar (2014),404,189,0.05163968777830164,0.8592785951097424,False
Full Metal Jacket (1987),86,89,0.18892082571204594,0.07399834444167266,False
Big Fish (2003),167,60,0.1335329341317365,0.3707396149844245,False
Cool Hand Luke (1967),56,31,0.1514976958525346,0.6809613484416916,False
A Beautiful Mind (2001),290,107,0.12420238478891393,0.16204542112480227,False
Sholay (1978),55,28,0.12467532467532466,0.8828980731433965,False
The 51st State (2001),41,24,0.20121951219512196,0.49383487053721975,False
Die Hard With a Vengeance (1995),73,64,0.057363013698630116,0.9992244646670569,False
Elf (2003),596,174,0.14086245467870095,0.00845096749469306,False
The Blue Lagoon (1980),130,33,0.14685314685314688,0.5663212080817365,False
Hellraiser (1987),53,38,0.16137040714995032,0.5410243895849615,False
Moonraker (1979),42,33,0.13636363636363635,0.8261044386240974,False
Leon (1994),74,49,0.11941533370104795,0.7358524524419728,False
Mystic River (2003),57,28,0.18358395989974935,0.4881045606425625,False
Sexy Beast (2000),36,20,0.17222222222222222,0.7765455037498031,False
Beetle Juice (1988),262,85,0.04521778176919633,0.9983946289917189,False
Andaz Apna Apna (1994),50,23,0.3582608695652174,0.02546201502436632,False
The Proposal (2009),519,79,0.3174312821638497,1.2432575295134295e-06,True
The Shining (1980),317,126,0.07160382554704325,0.7106805802377455,False
The Land That Time Forgot (1974),56,36,0.23015873015873017,0.164402547614889,False
The Perfect Storm (2000),88,51,0.06862745098039214,0.9940411542805527,False
Escape from LA (1996),43,29,0.13793103448275867,0.8344564087843148,False
Shutter Island (2010),304,112,0.07659774436090228,0.6905329258870039,False
JFK (1991),48,38,0.11842105263157898,0.8826252266236053,False
Barb Wire (1996),32,26,0.19711538461538464,0.5566996422145667,False
Oldboy (2003),76,62,0.09550084889643463,0.8761190380273194,False
Carrie (1976),242,76,0.07383645063070904,0.8824263378139635,False
The Good the Bad and the Ugly (1966),102,73,0.23032500671501477,0.017580989060735124,False
Speed 2: Cruise Control (1997),49,37,0.17484831770546058,0.46750190090152693,False
The Lord of the Rings: The Fellowship of the Ring (2001),338,164,0.12350266993794198,0.06190247292035849,False
The Talented Mr. Ripley (1999),104,41,0.2075515947467167,0.13406718216409608,False
Casino (1995),58,42,0.17816091954022995,0.36816229053660976,False
A Time to Kill (1996),56,29,0.185960591133005,0.4516182657789115,False
Blazing Saddles (1974),63,52,0.2762515262515262,0.020081687676159463,False
The Doom Generation (1995),35,24,0.18809523809523807,0.615750663310446,False
Armageddon (1998),101,67,0.08777892714644597,0.8784846120520323,False
X-Men (2000),371,175,0.044097035040431165,0.9647976661489496,False
Arachnophobia (1990),65,39,0.1384615384615384,0.6931897076295647,False
Stir Crazy (1980),34,24,0.3014705882352941,0.12152884273581858,False
Billy Jack (1971),34,25,0.1164705882352941,0.9709386743470643,False
The Silencers (1966),37,26,0.17255717255717257,0.6723827616090855,False
