franchise,n_movies,n_tested,statistic,p_value,significant
Star Wars,6,6,230.5841753686405,8.01647736660335e-48,True
Harry Potter,4,4,3.331230732890868,0.3433195083728917,False
The Matrix,3,3,48.378866521305774,3.1236517880781424e-11,True
Indiana Jones,4,4,45.79416340261569,6.272775639796079e-10,True
Jurassic Park,3,3,46.59088064385298,7.636930084362221e-11,True
Pirates of the Caribbean,3,3,20.64399756002606,3.2901287079094474e-05,True
Toy Story,3,3,24.38599493626327,5.065805156537524e-06,True
Batman,3,3,190.53496872634642,4.2252969509030006e-42,True
