movie,n_social,n_alone,statistic,p_value,significant,social_mean,alone_mean
Independence Day (1996),144,182,13068.5,0.5172947445119618,False,2.7083333333333335,2.7142857142857144
Who Framed Roger Rabbit (1988),126,157,10307.0,0.268640569661331,False,2.8095238095238093,2.78343949044586
As Good as it Gets (1997),44,53,1026.5,0.8474560415048042,False,2.3636363636363638,2.660377358490566
Butch Cassidy and the Sundance Kid (1969),49,51,1167.0,0.7185893335314534,False,2.489795918367347,2.5686274509803924
You're Next (2011),52,62,1439.5,0.8396270529793195,False,2.173076923076923,2.370967741935484
The Final Conflict (1981),30,25,396.0,0.36285784637089036,False,2.35,2.26
City of God (2002),52,61,1458.5,0.7736881161976578,False,2.7596153846153846,2.9098360655737703
Star Wars: Episode VII - The Force Awakens (2015),219,263,29263.0,0.3770747871813075,False,3.125570776255708,3.112167300380228
The Transporter (2002),92,99,5619.0,0.002333190229296454,True,2.7989130434782608,2.4646464646464645
Cast Away (2000),143,184,11998.5,0.9182701217299507,False,2.8986013986013988,3.0869565217391304
Bad Boys 2 (2003),80,81,3341.5,0.36447777796301994,False,2.83125,2.7901234567901234
The Babadook (2014),120,163,9999.5,0.37250922281431653,False,2.575,2.53680981595092
Saw (2004),152,210,15669.5,0.6173308211315756,False,2.2697368421052633,2.330952380952381
Star Wars: Episode VI - The Return of the Jedi (1983),200,251,25691.0,0.33029962860228385,False,3.05,3.0119521912350598
Scary Movie (2000),137,175,12803.0,0.14895778613897298,False,2.448905109489051,2.3142857142857145
E.T. The Extra-Terrestrial (1982),250,333,41727.0,0.4795259861630973,False,2.908,2.9024024024024024
American History X (1998),48,75,1462.5,0.9623895344677236,False,2.5208333333333335,2.933333333333333
FeardotCom (2002),26,30,435.0,0.2301400862955405,False,2.2884615384615383,2.1333333333333333
Halloween (1978),88,113,5475.5,0.1067096636321086,False,2.7386363636363638,2.575221238938053
Along Came a Spider (2002),33,35,699.5,0.06624002871289744,False,2.4545454545454546,2.057142857142857
The Mist (2007),69,99,3047.5,0.885239375790137,False,2.260869565217391,2.5
Aladdin (1992),352,456,87668.0,0.009886335523550852,False,3.3323863636363638,3.2116228070175437
Pirates of the Caribbean: The Curse of the Black Pearl (2003),287,380,57338.0,0.12241723329894988,False,3.0470383275261326,2.9921052631578946
Men in Black (1997),247,311,38220.5,0.5405241964055343,False,3.0040485829959516,3.0241157556270095
Eternal Sunshine of the Spotless Mind (2004),109,189,8890.0,0.9787520373869154,False,3.0,3.1984126984126986
Ocean's Eleven (2001),154,201,15995.5,0.29126214151992946,False,2.896103896103896,2.883084577114428
Men in Black II (2002),214,277,30920.0,0.20188293757974568,False,2.8481308411214954,2.803249097472924
Cocktail (1988),30,30,476.5,0.34861155222685825,False,2.1666666666666665,2.0833333333333335
The Wolf of Wall Street (2013),270,393,49303.5,0.9436657996253056,False,3.033333333333333,3.143765903307888
The Game (1997),38,46,848.0,0.5952632847415384,False,2.6578947368421053,2.717391304347826
Red Sonja (1985),34,25,480.0,0.19944457169196467,False,2.1470588235294117,1.86
One Flew Over the Cuckoo's Nest (1975),102,164,8324.5,0.5268916376633116,False,3.1176470588235294,3.192073170731707
Freddy Got Fingered (2001),33,31,553.0,0.28912530623974747,False,2.1515151515151514,1.9516129032258065
The Village (2004),53,66,1715.0,0.5742929051179442,False,2.358490566037736,2.356060606060606
Miller's Crossing (1990),32,33,505.5,0.6198348888729885,False,2.28125,2.3181818181818183
My Best Friend's Wedding (1997),78,122,5009.5,0.2608769009988958,False,2.826923076923077,2.737704918032787
