movie,n_only,n_siblings,statistic,p_value,significant
From Hell (2001),18,66,0.2272727272727273,0.40176574740326043,False
Dead Poets Society (1989),82,389,0.07307668192363159,0.8317114734045881,False
Once Upon a Time in America (1984),16,71,0.20598591549295775,0.5597602883243598,False
Equilibrium (2002),28,82,0.19686411149825778,0.34325958673832735,False
Star Wars: Episode II - Attack of the Clones (2002),84,433,0.10887495875948527,0.3457006794503445,False
The Thing (1982),35,121,0.138370720188902,0.6160432134176349,False
Interstellar (2014),108,487,0.033614723553122006,0.9998763688032383,False
Full Metal Jacket (1987),24,153,0.27124183006535946,0.07679236526533553,False
Big Fish (2003),36,194,0.13316151202749138,0.6022323529077932,False
Cool Hand Luke (1967),15,72,0.13055555555555556,0.9631877594489694,False
A Beautiful Mind (2001),74,324,0.05188521855188524,0.9936216964133263,False
Sholay (1978),17,66,0.1488413547237077,0.8753470471463799,False
The 51st State (2001),13,52,0.13461538461538464,0.9865370535309226,False
Die Hard With a Vengeance (1995),27,112,0.12698412698412703,0.82287358365619,False
Elf (2003),120,653,0.10877998979070952,0.16710586523635276,False
The Blue Lagoon (1980),28,135,0.3116402116402116,0.016787657967160686,False
Hellraiser (1987),17,75,0.24941176470588233,0.29819921578942354,False
Moonraker (1979),15,61,0.26885245901639343,0.2956721333213396,False
Leon (1994),32,91,0.30631868131868134,0.017880604983235595,False
Mystic River (2003),15,71,0.09107981220657277,0.999430542762864,False
Sexy Beast (2000),11,45,0.2767676767676768,0.431662409851556,False
Beetle Juice (1988),46,303,0.09334194288994115,0.8411310339800584,False
Andaz Apna Apna (1994),13,60,0.1807692307692308,0.809218116448152,False
The Proposal (2009),89,510,0.1305133289270764,0.13691644921157445,False
The Shining (1980),78,368,0.035186733556298755,0.9999878442505955,False
The Land That Time Forgot (1974),22,71,0.25608194622279135,0.18147705579133372,False
The Perfect Storm (2000),29,110,0.19937304075235113,0.2757279412791767,False
Escape from LA (1996),16,56,0.1517857142857143,0.903191519701047,False
Shutter Island (2010),69,350,0.1290683229813665,0.2655856452199053,False
JFK (1991),20,66,0.1090909090909091,0.9801804581598378,False
Barb Wire (1996),14,45,0.19047619047619035,0.759561672350499,False
Oldboy (2003),37,101,0.051110516457051114,0.9999923629117354,False
Carrie (1976),62,260,0.13995037220843665,0.2525181556058761,False
The Good the Bad and the Ugly (1966),29,146,0.14879546528105814,0.5960839073404136,False
Speed 2: Cruise Control (1997),18,68,0.14542483660130723,0.8787873981842543,False
The Lord of the Rings: The Fellowship of the Ring (2001),89,418,0.0608569431750981,0.9304269301024236,False
The Talented Mr. Ripley (1999),25,120,0.095,0.9820223160776803,False
Casino (1995),21,79,0.10488245931283904,0.9807582199764354,False
A Time to Kill (1996),19,66,0.10366826156299838,0.9903684961034593,False
Blazing Saddles (1974),19,96,0.11732456140350878,0.9601993995197073,False
The Doom Generation (1995),14,45,0.26031746031746034,0.3913835424221771,False
Armageddon (1998),27,142,0.11580594679186218,0.881120786715234,False
X-Men (2000),93,456,0.05440011318619131,0.965049934791123,False
